Common Name,Scientific Name
Long-tailed Tit,Aegithalos caudatus
Sandwich Tern,Thalasseus sandvicensis
Eurasian Scops-Owl,Otus scops
Great Gray Shrike,Lanius excubitor
Common Loon,Gavia immer
Red Phalarope,Phalaropus fulicarius
Eurasian Nightjar,Caprimulgus europaeus
Eurasian Whimbrel,Numenius phaeopus
Ring-necked Duck,Aythya collaris
Oriental Turtle-Dove,Streptopelia orientalis
Rock Pipit,Anthus petrosus
Spotted Sandpiper,Actitis macularius
Common Nightingale,Luscinia megarhynchos
Green Sandpiper,Tringa ochropus
Eurasian Kestrel,Falco tinnunculus
Pied Avocet,Recurvirostra avosetta
Glaucous Gull,Larus hyperboreus
Falcated Duck,Mareca falcata
American Golden-Plover,Pluvialis dominica
Ring Ouzel,Turdus torquatus
Lapland Longspur,Calcarius lapponicus
Curlew Sandpiper,Calidris ferruginea
Citrine Wagtail,Motacilla citreola
Sanderling,Calidris alba
Willow Tit,Poecile montanus
Lesser Yellowlegs,Tringa flavipes
Bearded Reedling,Panurus biarmicus
Mandarin Duck,Aix galericulata
White-throated Dipper,Cinclus cinclus
Spotted Crake,Porzana porzana
Common Buzzard,Buteo buteo
Sabine's Gull,Xema sabini
Black Tern,Chlidonias niger
Short-eared Owl,Asio flammeus
Horned Lark,Eremophila alpestris
Pectoral Sandpiper,Calidris melanotos
American Pipit,Anthus rubescens
Ruff,Calidris pugnax
White-rumped Sandpiper,Calidris fuscicollis
Baltimore Oriole,Icterus galbula
Leach's Storm-Petrel,Hydrobates leucorhous
Northern Fulmar,Fulmarus glacialis
Temminck's Stint,Calidris temminckii
Eurasian Dotterel,Eudromias morinellus
Common Swift,Apus apus
Common Sandpiper,Actitis hypoleucos
Common Tern,Sterna hirundo
Common Crane,Grus grus
White-winged Crossbill,Loxia leucoptera
Baikal Teal,Sibirionetta formosa
Eurasian Blackbird,Turdus merula
Little Grebe,Tachybaptus ruficollis
Franklin's Gull,Leucophaeus pipixcan
Common Greenshank,Tringa nebularia
Black-headed Gull,Chroicocephalus ridibundus
Black-bellied Plover,Pluvialis squatarola
Iberian Chiffchaff,Phylloscopus ibericus
Pied-billed Grebe,Podilymbus podiceps
White-winged Tern,Chlidonias leucopterus
Common Ringed Plover,Charadrius hiaticula
Surf Scoter,Melanitta perspicillata
Common Quail,Coturnix coturnix
Yellowhammer,Emberiza citrinella
Reed Bunting,Emberiza schoeniclus
Little Stint,Calidris minuta
Bohemian Waxwing,Bombycilla garrulus
Long-tailed Jaeger,Stercorarius longicaudus
Blue-winged Teal,Spatula discors
European Serin,Serinus serinus
Red-throated Loon,Gavia stellata
European Greenfinch,Chloris chloris
Brant,Branta bernicla
Northern Lapwing,Vanellus vanellus
Woodchat Shrike,Lanius senator
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Common Goldeneye,Bucephala clangula
Common Pochard,Aythya ferina
Twite,Linaria flavirostris
Ruddy Duck,Oxyura jamaicensis
Red-breasted Merganser,Mergus serrator
Red-necked Grebe,Podiceps grisegena
Smew,Mergellus albellus
Common Merganser,Mergus merganser
Velvet Scoter,Melanitta fusca
Common Grasshopper Warbler,Locustella naevia
Snow Bunting,Plectrophenax nivalis
Common Snipe,Gallinago gallinago
White-tailed Eagle,Haliaeetus albicilla
Whooper Swan,Cygnus cygnus
Redwing,Turdus iliacus
European Turtle-Dove,Streptopelia turtur
Lesser Spotted Woodpecker,Dryobates minor
Eurasian Tree Sparrow,Passer montanus
Whiskered Tern,Chlidonias hybrida
Brambling,Fringilla montifringilla
Red-backed Shrike,Lanius collurio
Tundra Swan,Cygnus columbianus
Savi's Warbler,Locustella luscinioides
Dartford Warbler,Curruca undata
Eurasian Thick-knee,Burhinus oedicnemus
European Honey-buzzard,Pernis apivorus
Long-eared Owl,Asio otus
Corn Crake,Crex crex
Marsh Warbler,Acrocephalus palustris
European Bee-eater,Merops apiaster
Black-winged Stilt,Himantopus himantopus
Montagu's Harrier,Circus pygargus
