Species,Frequency
Catharus ustulatus,504
Water_tap_and_faucet,502
Hirundo rustica,501
Catharus guttatus,499
Motacilla cinerea,498
Poecile carolinensis,495
Botaurus minutus,490
Fringilla montifringilla,466
Caprimulgus europaeus,464
Poecile montanus,463
Curruca communis,448
Cystosoma saundersii,426
Megaceryle alcyon,410
Milvus milvus,409
Scolopax rusticola,407
Emberiza calandra,404
Alauda arvensis,390
Setophaga petechia,384
Emberiza cirlus,376
Conocephalus fuscus,366
Myiarchus crinitus,357
Hyla versicolor,357
Mimus polyglottos,353
Acrocephalus palustris,350
Catharus fuscescens,334
Anas crecca,334
Omocestus viridulus,333
Charadrius hiaticula,331
Apus apus,330
Pica pica,329
Vireo olivaceus,327
Dendrocopos leucotos,322
Muntiacus reevesi,321
Thinornis dubius,315
Incilius nebulifer,302
Emberiza citrinella,299
Sciurus carolinensis,290
Acris blanchardi,285
Anser anser,283
Limnodynastes peronii,278
Anthus trivialis,275
Bombina bombina,270
Dumetella carolinensis,262
Picus sharpei,259
Curruca melanocephala,255
Setophaga virens,251
Colaptes auratus,251
Acrocephalus dumetorum,247
Falco tinnunculus,239
Liquid,229
Accipiter nisus,213
Microcentrum rhombifolium,213
Piranga olivacea,208
Serinus serinus,205
Vireo solitarius,202
Vireo huttoni,202
Pardalotus punctatus,201
Chordeiles minor,199
Phaneroptera nana,196
Setophaga ruticilla,190
Psiloscops flammeolus,188
Charadrius vociferus,183
Anthus hodgsoni,177
Roeseliana roeselii,174
Acrocephalus scirpaceus,171
Acanthis flammea,170
Corvus brachyrhynchos,169
Lithobates catesbeianus,166
Tringa nebularia,161
Motacilla alba,155
Loxia pytyopsittacus,153
Contopus virens,153
Mechanisms,152
Chroicocephalus ridibundus,152
Catharus aurantiirostris,152
Crinia signifera,149
Streptopelia turtur,146
Dryobates pubescens,144
Sialia sialis,141
Pachycephala pectoralis,141
Glaucidium gnoma,139
Pluvialis squatarola,139
Vireo griseus,137
Sink_(filling_or_washing),136
Seiurus aurocapilla,136
Turdus grayi,134
Strix uralensis,129
Haliaeetus leucocephalus,126
Carpodacus erythrinus,124
Tetrastes bonasia,124
Zonotrichia albicollis,120
Vireo flavifrons,117
Pseudacris maculata,117
Canis latrans,116
Hippolais polyglotta,115
Scolopax minor,111
Agelaius phoeniceus,110
Aegolius acadicus,110
Eudromias morinellus,105
Chorthippus biguttulus,105
Ixoreus naevius,102
Haemorhous purpureus,101
Tamiasciurus hudsonicus,100
Picoides tridactylus,100
Setophaga americana,98
Poecile atricapillus,97
Melospiza melodia,94
Vanellus vanellus,91
Mareca penelope,90
Attila rufus,89
Cacomantis variolosus,89
Troglodytes aedon,88
Hyla chrysoscelis,88
Pseudacris regilla,87
Setophaga fusca,84
Musical_instrument,83
Falco subbuteo,83
Turdus rufiventris,82
Music,82
Water,81
Melanitta nigra,81
Sitta carolinensis,80
Milvus migrans,79
Callipepla californica,78
Emberiza pusilla,78
Emberiza rustica,78
Phleocryptes melanops,78
Mniotilta varia,77
Curruca nisoria,75
Chaetura pelagica,74
Crex crex,73
Phylloscopus fuscatus,71
Corvus ossifragus,71
Turdus rufopalliatus,71
Bombycilla garrulus,70
Platycleis albopunctata,70
Phylloscopus inornatus,70
Tringa totanus,67
Piranga rubra,66
Merops apiaster,65
Polioptila caerulea,65
Explosion,64
Poecile rufescens,64
Parkesia motacilla,63
Motacilla flava,63
Curruca subalpina,63
Hiss,61
Litoria peronii,59
Megascops kennicottii,59
Ninox boobook,57
Setophaga townsendi,57
Poecilimon ornatus,54
Zenaida macroura,53
Melanerpes carolinus,52
Nucifraga caryocatactes,51
Anthus pratensis,51
Thryomanes bewickii,50
Fire,50
Anaxyrus fowleri,49
Falco sparverius,49
Emberiza schoeniclus,49
Cardellina canadensis,49
Cacomantis flabelliformis,49
Limnodynastes tasmaniensis,49
Acrocephalus arundinaceus,48
Haemorhous mexicanus,48
Geothlypis trichas,48
Cardellina pusilla,48
Crackle,48
Spinus tristis,47
Anser albifrons,47
Tringa glareola,46
Anthus cervinus,46
Garrulax canorus,45
Coccothraustes vespertinus,45
Strepera graculina,41
Pipilo maculatus,41
Falco peregrinus,41
Passer domesticus,41
Anser brachyrhynchus,41
Ardea purpurea,41
Micrastur ruficollis,40
Alarm,40
Dryobates villosus,40
Attila spadiceus,40
Plectrophenax nivalis,40
Antigone canadensis,39
Spizella passerina,39
Human_voice,39
Contopus cooperi,39
Tringa erythropus,38
Sayornis phoebe,38
Passerina cyanea,38
Setophaga caerulescens,38
Loxia leucoptera,38
Haliaeetus albicilla,37
Bucephala clangula,37
Caprimulgus affinis,36
Calcarius lapponicus,34
Setophaga citrina,33
Tarsiger cyanurus,33
Lanius collurio,33
Eopsaltria australis,32
Percussion,32
Sitta canadensis,32
Clamator glandarius,32
Recurvirostra avosetta,31
Coccyzus americanus,31
Zanda funerea,31
Emberiza cia,31
Piaya cayana,30
Acrocephalus schoenobaenus,30
Cicada orni,30
Curruca cantillans,30
Strongylopus grayii,30
Anas acuta,30
Tap,29
Branta leucopsis,29
Glaucidium brasilianum,29
Cygnus cygnus,28
Typing,28
Delichon urbicum,28
Decticus albifrons,28
Coturnicops noveboracensis,27
Litoria ewingii,27
Zonotrichia leucophrys,27
Mareca strepera,26
Calliope calliope,26
Baeolophus inornatus,26
Strepera versicolor,26
Psaltoda moerens,26
Frying_(food),25
Pandion haliaetus,25
Saga hellenica,25
Cyanistes teneriffae,25
Calidris canutus,24
Tapera naevia,24
Cyanistes cyanus,24
Todiramphus sanctus,24
Upupa epops,24
Butorides virescens,24
Turdus leucomelas,24
Streptopelia orientalis,23
Protonotaria citrea,23
Toilet_flush,23
Quiscalus mexicanus,23
Buteo platypterus,23
Lullula arborea,23
Empidonax difficilis,23
Zapornia pusilla,22
Vehicle,22
Remiz pendulinus,22
Leiothlypis ruficapilla,22
Hydroprogne caspia,22
Gallinago delicata,21
Pernis apivorus,21
Larvivora sibilans,21
Anthus spinoletta,21
Aix sponsa,20
Locustella fluviatilis,19
Phylloscopus borealis,19
Pheucticus ludovicianus,19
Setophaga pinus,19
Leiothlypis celata,19
Passerculus sandwichensis,19
Arenaria interpres,19
Junco hyemalis,18
Turdus obscurus,18
Bartramia longicauda,18
Passerella iliaca,18
Brass_instrument,18
Anthus campestris,18
Tyrannus melancholicus,18
Quiscalus quiscula,18
Pinicola enucleator,18
Menura novaehollandiae,18
Barbitistes yersini,18
Vireo cassinii,17
Psaltriparus minimus,17
Antrostomus carolinensis,17
Falco rufigularis,17
Himantopus himantopus,17
Cyornis hainanus,17
Spilornis cheela,17
Phylloscopus tenellipes,17
Pseudacris feriarum,17
Porzana carolina,17
Setophaga striata,17
Tringa solitaria,16
Fireworks,16
Contopus sordidulus,16
Icterus galbula,16
Leiothlypis peregrina,16
Tools,16
Gymnorhina tibicen,15
Icterus spurius,15
Camera,15
Cacatua galerita,15
Passer montanus,15
Melanerpes candidus,15
Cacomantis merulinus,15
Larus argentatus,14
Larus fuscus,14
Calyptorhynchus lathami,14
Hands,14
Buteo plagiatus,14
Calypte anna,14
Pholidoptera femorata,14
Ramphocaenus melanurus,14
Gavia immer,14
Vanellus chilensis,14
Sterna hirundo,13
Poecilimon mytilenensis,13
Clapping,13
Wild_animals,13
Toxostoma redivivum,13
Dryobates borealis,13
Sepiana sepium,13
Psittacula krameri,13
Lithobates clamitans,12
Pheucticus melanocephalus,12
Vireo bellii,12
Henicorhina leucophrys,12
Gerygone igata,12
Pseudacris fouquettei,12
Falco columbarius,12
Astur cooperii,12
Eudynamys orientalis,12
Magicicada septendecim,11
Cisticola juncidis,11
Turdus flavipes,11
Larus michahellis,11
Melospiza lincolnii,11
Neotibicen robinsonianus,11
Sittasomus griseicapillus,11
Egretta garzetta,11
Phylloscopus canariensis,11
Picumnus innominatus,11
Attila bolivianus,10
Corthylio calendula,10
Acris crepitans,10
Pseudochorthippus parallelus,10
Gunshot_and_gunfire,10
Piranga ludoviciana,10
Myadestes townsendi,10
Setophaga tigrina,10
Turdus hortulorum,10
Tadorna ferruginea,10
Empidonax virescens,10
Pyrrhocorax pyrrhocorax,10
Geothlypis philadelphia,10
Clanga pomarina,10
Ficedula albicilla,10
Sphyrapicus varius,10
Circus aeruginosus,10
Corvus enca,10
Ninox strenua,10
Canis lupus,9
Empidonax alnorum,9
Toxostoma curvirostre,9
Anthornis melanura,9
Locustella luscinioides,9
Setophaga coronata,9
Tachyspiza badia,9
Insect,9
Rhinella arenarum,9
Nilaus afer,9
Andropadus importunus,9
Ramphastos ambiguus,9
Plucked_string_instrument,8
Apalis melanocephala,8
Guitar,8
Molothrus ater,8
Phylloscopus proregulus,8
Melozone crissalis,8
Ara militaris,8
Salomona borneensis,8
Perdix perdix,8
Epidalea calamita,8
Melospiza georgiana,8
Rana temporaria,8
Myiarchus tyrannulus,8
Quesada gigas,8
Corvus macrorhynchos,8
Psittacula eupatria,8
Parkesia noveboracensis,8
Manorina melanophrys,8
Marmota marmota,8
Cygnus olor,7
Rallus limicola,7
Setophaga cerulea,7
Limnodynastes dumerilii,7
Cercococcyx montanus,7
Spinus pinus,7
Dendrocopos syriacus,7
Nucifraga columbiana,7
Hierococcyx sparverioides,7
Setophaga castanea,7
Myadestes occidentalis,7
Coccyzus erythropthalmus,7
Bell,7
Catharus mexicanus,7
Melanerpes erythrocephalus,7
Campylorhynchus brunneicapillus,7
Rail_transport,7
Melanerpes formicivorus,7
Alisterus scapularis,7
Caligavis chrysops,6
Thunderstorm,6
Turdus falcklandii,6
Ancistrura nigrovittata,6
Cacomantis sepulcralis,6
Tringa melanoleuca,6
Setophaga dominica,6
Periparus venustulus,6
Gastrophryne carolinensis,6
Thalasseus sandvicensis,6
Keys_jangling,6
Eudynamys scolopaceus,6
Phylloscopus borealoides,6
Panurus biarmicus,6
Setophaga magnolia,6
Phalaenoptilus nuttallii,6
Colluricincla harmonica,6
Cistothorus palustris,6
Cyanocitta stelleri,6
Apalis thoracica,6
Phylloscopus humei,6
Sayornis nigricans,6
Agapornis roseicollis,6
Aquila chrysaetos,5
Megaceryle torquata,5
Tyrannus tyrannus,5
Ramphastos vitellinus,5
Curruca undata,5
Nyctidromus albicollis,5
Pnoepyga pusilla,5
Magicicada cassinii,5
Podiceps cristatus,5
Bowed_string_instrument,5
Chorthippus brunneus,5
Anser caerulescens,5
Helmitheros vermivorum,5
Pachycephala olivacea,5
Yoyetta celis,5
Stethophyma grossum,5
Sturnella magna,5
Sayornis saya,5
Cyanoptila cyanomelana,5
Setophaga nigrescens,5
Caracara plancus,5
Illadopsis distans,5
Micrastur semitorquatus,5
Anser serrirostris,5
Columba livia,5
Himantopus mexicanus,5
Trumpet,5
Herpetotheres cachinnans,5
Thunder,5
Larus canus,5
Gymnorhinus cyanocephalus,5
Passerina caerulea,5
Limosa limosa,5
Asio flammeus,5
Lyrurus tetrix,5
Alytes obstetricans,5
Coin_(dropping),5
Trichoglossus moluccanus,5
Decticus verrucivorus,5
Pelobates fuscus,5
Malacocincla abbotti,5
Colinus virginianus,5
Animal,5
Megarynchus pitangua,5
Poecilimon affinis,5
Modulatrix stictigula,5
Nemobius sylvestris,4
Petronia petronia,4
Oporornis agilis,4
Mimus gilvus,4
Ichthyaetus melanocephalus,4
Acanthiza pusilla,4
Copsychus saularis,4
Cymbal,4
Oecanthus pellucens,4
Pitangus sulphuratus,4
Myiothlypis leucoblephara,4
Parabuteo unicinctus,4
Drip,4
Arremon assimilis,4
Catherpes mexicanus,4
Fart,4
Chamaea fasciata,4
Ciconia ciconia,4
Acrochordopus burmeisteri,4
Ninox novaeseelandiae,4
Luscinia svecica,4
Geothlypis tolmiei,4
Limnothlypis swainsonii,4
Aphelocoma californica,4
Poecile hudsonicus,4
Poecilimon zimmeri,4
Ficedula zanthopygia,4
Geokichla gurneyi,4
Phylloscopus plumbeitarsus,4
Icteria virens,4
Calidris minutilla,4
Laughter,4
Zhangixalus arvalis,4
Dacelo novaeguineae,4
Alopochen aegyptiaca,4
Emberiza spodocephala,4
Geothlypis formosa,4
Myiarchus cinerascens,4
Mimus saturninus,4
Speech,4
Tamias striatus,3
Pomatorhinus musicus,3
Ramphastos tucanus,3
Cyrtaspis scutata,3
Curruca hortensis,3
Cormobates leucophaea,3
Acrocephalus australis,3
Cygnus columbianus,3
Hi-hat,3
Tambourine,3
Oenanthe oenanthe,3
Thump_and_thud,3
Rattle_(instrument),3
Meleagris gallopavo,3
Gavia stellata,3
Gypsophila brevicaudata,3
Barbitistes fischeri,3
Cyclarhis gujanensis,3
Locustella tacsanowskia,3
Walk_and_footsteps,3
Empidonax traillii,3
Cuculus optatus,3
Megatibicen grossa,3
Phaps chalcoptera,3
Phaneroptera falcata,3
Engine,3
Turnix sylvaticus,3
Lithobates palustris,3
Vireo chivi,3
Computer_keyboard,3
Subway_and_metro_and_underground,3
Cacomantis sonneratii,3
Pelargopsis capensis,3
Aerospiza tachiro,3
Branta bernicla,3
Catharus fuscater,3
Phylloscopus xanthoschistos,3
Lophotriccus galeatus,3
Tachymarptis melba,3
Pseudacris triseriata,3
Lithobates sphenocephalus,3
Glass,3
Phoenicurus auroreus,2
Geococcyx californianus,2
Curruca iberiae,2
Pyrocephalus rubinus,2
Curruca conspicillata,2
Corvus splendens,2
Dicrurus paradiseus,2
Rattle,2
Cygnus buccinator,2
Bicolorana bicolor,2
Galerida cristata,2
Bufotes viridis,2
Otus spilocephalus,2
Terpsiphone viridis,2
Corvus tasmanicus,2
Toxostoma longirostre,2
Sturnus unicolor,2
Himatione sanguinea,2
Cyanoderma ruficeps,2
Spizaetus tyrannus,2
Anthracoceros albirostris,2
Acanthorhynchus tenuirostris,2
Bathtub_(filling_or_washing),2
Philemon corniculatus,2
Leptocoma zeylonica,2
Saxicola rubicola,2
Wind_instrument_and_woodwind_instrument,2
Empidonax hammondii,2
Electron platyrhynchum,2
Pseudochorthippus montanus,2
Onychognathus tristramii,2
Arremon brunneinucha,2
Tyto furcata,2
Polioptila californica,2
Salpornis salvadori,2
Copsychus malabaricus,2
Duttaphrynus melanostictus,2
Psaltoda harrisii,2
Anthochaera carunculata,2
Spizaetus ornatus,2
Ara severus,2
Estrilda astrild,2
Vermivora cyanoptera,2
Hydrornis cyaneus,2
Pipraeidea melanonota,2
Ptyonoprogne rupestris,2
Leptotila verreauxi,2
Stephanoaetus coronatus,2
Sialia currucoides,2
Calidris ferruginea,2
Phylloscopus schwarzi,2
Zosterops japonicus,2
Abroscopus albogularis,2
Sternula albifrons,2
Xiphocolaptes promeropirhynchus,2
Elaenia albiceps,2
Vanellus miles,2
Lymnocryptes minimus,2
Halcyon chelicuti,2
Acrocephalus melanopogon,2
Malurus cyaneus,2
Motor_vehicle_(road),2
Isophya rhodopensis,2
Spinus psaltria,2
Anser fabalis,2
Pellorneum ruficeps,2
Apis mellifera,2
Singing,2
Megascops choliba,2
Apalis chapini,2
Bambusicola thoracicus,2
Melanotis caerulescens,2
Platycercus elegans,2
Claravis pretiosa,2
Rupornis magnirostris,2
Human_group_actions,2
Aegithalos concinnus,2
Respiratory_sounds,2
Aix galericulata,2
Gomphocerus sibiricus,2
Dolichonyx oryzivorus,2
Halcyon smyrnensis,2
Callocephalon fimbriatum,2
Kaloula pulchra,2
Acridotheres tristis,2
Sclerophrys capensis,2
Passerina ciris,2
Butorides striata,2
Setophaga chrysoparia,2
Sarothrura elegans,2
Magicicada tredecim,1
Cisticola fulvicapilla,1
Theristicus caudatus,1
Harmonica,1
Haemorhous cassinii,1
Gavia arctica,1
Malacoptila mystacalis,1
Acropternis orthonyx,1
Turdus fuscater,1
Butastur indicus,1
Poodytes gramineus,1
Batis pririt,1
Orthotomus sutorius,1
Buteo albonotatus,1
Lathrotriccus euleri,1
Crack,1
Psittacula finschii,1
Auscala spinosa,1
Carduelis citrinella,1
Actitis macularius,1
Pica hudsonia,1
Chrysocolaptes guttacristatus,1
Iduna opaca,1
Myiarchus tuberculifer,1
Culicicapa ceylonensis,1
Suthora webbiana,1
Dicaeum hirundinaceum,1
Turdus albicollis,1
Galbula ruficauda,1
Scytalopus speluncae,1
Crypturellus obsoletus,1
Vireo plumbeus,1
Progne subis,1
Rufirallus schomburgkii,1
Trogon rufus,1
Run,1
Ficedula hyperythra,1
Camaroptera brachyura,1
Riparia riparia,1
Tettigonia viridissima,1
Larus dominicanus,1
Platyrinchus mystaceus,1
Turtur tympanistria,1
Dishes_and_pots_and_pans,1
Dicrurus adsimilis,1
Coracias caudatus,1
Nothocercus julius,1
Hyla arborea,1
Crumpling_and_crinkling,1
Hierococcyx varius,1
Camptostoma obsoletum,1
Turdus pallidus,1
Barbitistes obtusus,1
Toxostoma lecontei,1
Turdus serranus,1
Eupholidoptera smyrnensis,1
Urodynamis taitensis,1
Saltator grandis,1
Dendrocitta formosae,1
Squeak,1
Lithobates septentrionalis,1
Aethopyga gouldiae,1
Otus elegans,1
Telephone,1
Columbina inca,1
Euphonia affinis,1
Chorthippus apricarius,1
Colibri cyanotus,1
Myadestes ralloides,1
Dryobates nuttallii,1
Phylloscopus nitidus,1
Scaphiopus couchii,1
Icterus chrysater,1
Empidonax wrightii,1
Domestic_animals_and_pets,1
Melozone fusca,1
Tetrao urogallus,1
Elaenia flavogaster,1
Scytalopus latrans,1
Clibanornis rubiginosus,1
Microeca flavigaster,1
Prinia flaviventris,1
Ocyceros birostris,1
Aquila adalberti,1
Ardeola ralloides,1
Conopophaga lineata,1
Mimus longicaudatus,1
Yungipicus canicapillus,1
Zipper_(clothing),1
Scaphiopus holbrookii,1
Sittiparus varius,1
Limosa lapponica,1
Euphonia chlorotica,1
Pycnonotus sinensis,1
Cough,1
Ibycter americanus,1
Archilochus colubris,1
Pericrocotus solaris,1
Lichmera indistincta,1
Coracina novaehollandiae,1
Arachnothera magna,1
Egretta thula,1
Contopus fumigatus,1
Muscicapa adusta,1
Icterus wagleri,1
Crowd,1
Empidonax flaviventris,1
Motacilla tschutschensis,1
Legatus leucophaius,1
Pycnonotus jocosus,1
Spilopelia chinensis,1
Acanthiza chrysorrhoa,1
Cyanopica cooki,1
Spiza americana,1
Piranga flava,1
Orthogonys chloricterus,1
Empidonax minimus,1
Ruspolia nitidula,1
Eleutherodactylus coqui,1
Formicarius colma,1
Schiffornis virescens,1
Glaucidium nana,1
Cutlery_and_silverware,1
Dryoscopus cubla,1
Merops ornatus,1
Catharus minimus,1
Platycleis sabulosa,1
Stachyris nigriceps,1
Giggle,1
Dives warczewiczi,1
Chlorothraupis stolzmanni,1
Car,1
Bradypterus lopezi,1
Myiarchus nuttingi,1
Brachyramphus marmoratus,1
Xenus cinereus,1
Chiroxiphia pareola,1
Tyrannus savana,1
Phylloscopus sindianus,1
Conocephalus exemptus,1
Philemon buceroides,1
Calidris alba,1
Cercotrichas leucophrys,1
Larvivora cyane,1
Gorsachius melanolophus,1
Lochmias nematura,1
Prinia subflava,1
Drawer_open_or_close,1
Piano,1
Nisaetus cirrhatus,1
Myiarchus ferox,1
Lyncornis macrotis,1
Magicicada tredecassini,1
Pseudacris clarkii,1
Crypturellus cinereus,1
Keyboard_(musical),1
Chiroxiphia caudata,1
Vanellus senegallus,1
Pterophylla camellifolia,1
Anaxyrus woodhousii,1
Calidris temminckii,1
Xiphorhynchus fuscus,1
Drum,1
Pyrrhocorax graculus,1
Pyriglena maura,1
Pseudacris streckeri,1
Chalcites lucidus,1
Lophoceros nasutus,1
Pteruthius aeralatus,1
Antrostomus vociferus,1
Phyllergates cucullatus,1
Poecile gambeli,1
Synallaxis unirufa,1
Corvus mellori,1
Ptiliogonys caudatus,1
Monticola solitarius,1
Prinia rufescens,1
Podargus strigoides,1
Ficedula mugimaki,1
Puffinus puffinus,1
Steropleurus flavovittatus,1
Fulica americana,1
Cercotrichas galactotes,1
Gelochelidon nilotica,1
Aramides cajaneus,1
Cuculus solitarius,1
Botaurus lentiginosus,1
Accipiter striatus,1
Sphecotheres vieilloti,1
Phainopepla nitens,1
Progne chalybea,1
Anelytra tristellata,1
Saxicola caprata,1
Gracupica nigricollis,1
Turdinus macrodactylus,1
Hypsipetes amaurotis,1
Syndactyla rufosuperciliata,1
Ixos mcclellandii,1
Cuculus clamosus,1
Oreothlypis superciliosa,1
Bradypterus cinnamomeus,1
Corvus orru,1
Toxostoma crissale,1
Coereba flaveola,1
Iduna caligata,1
Eleoscytalopus indigoticus,1
Auriparus flaviceps,1
Iduna pallida,1
Dendragapus fuliginosus,1
Chewing_and_mastication,1
Clock,1
Meliphaga lewinii,1
Eumomota superciliosa,1
Todiramphus chloris,1
Eurillas virens,1
Setophaga discolor,1
