scientificName,Frequency,Common Name
Troglodytes aedon,88,Northern House Wren
Hyla chrysoscelis,88,
Pseudacris regilla,87,
Setophaga fusca,84,Blackburnian Warbler
Musical_instrument,83,
Falco subbuteo,83,Eurasian Hobby
Turdus rufiventris,82,Rufous-bellied Thrush
Music,82,
Water,81,
Melanitta nigra,81,Common Scoter
Sitta carolinensis,80,White-breasted Nuthatch
Milvus migrans,79,Black Kite
Callipepla californica,78,California Quail
Emberiza pusilla,78,Little Bunting
Emberiza rustica,78,Rustic Bunting
Phleocryptes melanops,78,Wren-like Rushbird
Mniotilta varia,77,Black-and-white Warbler
Curruca nisoria,75,Barred Warbler
Chaetura pelagica,74,Chimney Swift
Crex crex,73,Corn Crake
Phylloscopus fuscatus,71,Dusky Warbler
Corvus ossifragus,71,Fish Crow
Turdus rufopalliatus,71,Rufous-backed Robin
Bombycilla garrulus,70,Bohemian Waxwing
Platycleis albopunctata,70,
Phylloscopus inornatus,70,Yellow-browed Warbler
Tringa totanus,67,Common Redshank
Piranga rubra,66,Summer Tanager
Merops apiaster,65,European Bee-eater
Polioptila caerulea,65,Blue-gray Gnatcatcher
Explosion,64,
Poecile rufescens,64,Chestnut-backed Chickadee
Parkesia motacilla,63,Louisiana Waterthrush
Motacilla flava,63,Western Yellow Wagtail
Curruca subalpina,63,Moltoni's Warbler
Hiss,61,
Litoria peronii,59,
Megascops kennicottii,59,Western Screech-Owl
Ninox boobook,57,Australian Boobook
Setophaga townsendi,57,Townsend's Warbler
Poecilimon ornatus,54,
Zenaida macroura,53,Mourning Dove
Melanerpes carolinus,52,Red-bellied Woodpecker
Nucifraga caryocatactes,51,Northern Nutcracker
Anthus pratensis,51,Meadow Pipit
Thryomanes bewickii,50,Bewick's Wren
Fire,50,
Anaxyrus fowleri,49,
Falco sparverius,49,American Kestrel
Emberiza schoeniclus,49,Reed Bunting
Cardellina canadensis,49,Canada Warbler
Cacomantis flabelliformis,49,Fan-tailed Cuckoo
Limnodynastes tasmaniensis,49,
Acrocephalus arundinaceus,48,Great Reed Warbler
Haemorhous mexicanus,48,House Finch
Geothlypis trichas,48,Common Yellowthroat
Cardellina pusilla,48,Wilson's Warbler
Crackle,48,
Spinus tristis,47,American Goldfinch
Anser albifrons,47,Greater White-fronted Goose
Tringa glareola,46,Wood Sandpiper
Anthus cervinus,46,Red-throated Pipit
Garrulax canorus,45,Chinese Hwamei
Coccothraustes vespertinus,45,
Strepera graculina,41,Pied Currawong
Pipilo maculatus,41,Spotted Towhee
Falco peregrinus,41,Peregrine Falcon
Passer domesticus,41,House Sparrow
Anser brachyrhynchus,41,Pink-footed Goose
Ardea purpurea,41,Purple Heron
Micrastur ruficollis,40,Barred Forest-Falcon
Alarm,40,
Dryobates villosus,40,
Attila spadiceus,40,Bright-rumped Attila
Plectrophenax nivalis,40,Snow Bunting
Antigone canadensis,39,Sandhill Crane
Spizella passerina,39,Chipping Sparrow
Human_voice,39,
Contopus cooperi,39,Olive-sided Flycatcher
Tringa erythropus,38,Spotted Redshank
Sayornis phoebe,38,Eastern Phoebe
Passerina cyanea,38,Indigo Bunting
Setophaga caerulescens,38,Black-throated Blue Warbler
Loxia leucoptera,38,White-winged Crossbill
Haliaeetus albicilla,37,White-tailed Eagle
Bucephala clangula,37,Common Goldeneye
Caprimulgus affinis,36,Savanna Nightjar
Calcarius lapponicus,34,Lapland Longspur
Setophaga citrina,33,Hooded Warbler
Tarsiger cyanurus,33,Red-flanked Bluetail
Lanius collurio,33,Red-backed Shrike
Eopsaltria australis,32,Eastern Yellow Robin
Percussion,32,
Sitta canadensis,32,Red-breasted Nuthatch
Clamator glandarius,32,Great Spotted Cuckoo
Recurvirostra avosetta,31,Pied Avocet
Coccyzus americanus,31,Yellow-billed Cuckoo
Zanda funerea,31,Yellow-tailed Black-Cockatoo
Emberiza cia,31,Rock Bunting
Piaya cayana,30,Common Squirrel-Cuckoo
Acrocephalus schoenobaenus,30,Sedge Warbler
Cicada orni,30,
Curruca cantillans,30,Eastern Subalpine Warbler
Strongylopus grayii,30,
Anas acuta,30,Northern Pintail
Tap,29,
Branta leucopsis,29,Barnacle Goose
Glaucidium brasilianum,29,Ferruginous Pygmy-Owl
Cygnus cygnus,28,Whooper Swan
Typing,28,
Delichon urbicum,28,Western House-Martin
Decticus albifrons,28,
Coturnicops noveboracensis,27,Yellow Rail
Litoria ewingii,27,
Zonotrichia leucophrys,27,White-crowned Sparrow
Mareca strepera,26,Gadwall
Calliope calliope,26,Siberian Rubythroat
Baeolophus inornatus,26,Oak Titmouse
Strepera versicolor,26,Gray Currawong
Psaltoda moerens,26,
Frying_(food),25,
Pandion haliaetus,25,Osprey
Saga hellenica,25,
Cyanistes teneriffae,25,African Blue Tit
Calidris canutus,24,Red Knot
Tapera naevia,24,Striped Cuckoo
Cyanistes cyanus,24,Azure Tit
Todiramphus sanctus,24,Sacred Kingfisher
Upupa epops,24,Common Hoopoe
Butorides virescens,24,Green Heron
Turdus leucomelas,24,Pale-breasted Thrush
Streptopelia orientalis,23,Oriental Turtle-Dove
Protonotaria citrea,23,Prothonotary Warbler
Toilet_flush,23,
Quiscalus mexicanus,23,Great-tailed Grackle
Buteo platypterus,23,Broad-winged Hawk
Lullula arborea,23,Wood Lark
Empidonax difficilis,23,Western Flycatcher
Zapornia pusilla,22,Baillon's Crake
Vehicle,22,
Remiz pendulinus,22,Eurasian Penduline-Tit
Leiothlypis ruficapilla,22,Nashville Warbler
Hydroprogne caspia,22,Caspian Tern
Gallinago delicata,21,Wilson's Snipe
Pernis apivorus,21,European Honey-buzzard
Larvivora sibilans,21,Rufous-tailed Robin
Anthus spinoletta,21,Water Pipit
Aix sponsa,20,Wood Duck
Locustella fluviatilis,19,River Warbler
Phylloscopus borealis,19,Arctic Warbler
Pheucticus ludovicianus,19,Rose-breasted Grosbeak
Setophaga pinus,19,Pine Warbler
Leiothlypis celata,19,Orange-crowned Warbler
Passerculus sandwichensis,19,Savannah Sparrow
Arenaria interpres,19,Ruddy Turnstone
Junco hyemalis,18,Dark-eyed Junco
Turdus obscurus,18,Eyebrowed Thrush
Bartramia longicauda,18,Upland Sandpiper
Passerella iliaca,18,Fox Sparrow
Brass_instrument,18,
Anthus campestris,18,Tawny Pipit
Tyrannus melancholicus,18,Tropical Kingbird
Quiscalus quiscula,18,Common Grackle
Pinicola enucleator,18,Pine Grosbeak
Menura novaehollandiae,18,Superb Lyrebird
Barbitistes yersini,18,
Vireo cassinii,17,Cassin's Vireo
Psaltriparus minimus,17,Bushtit
Antrostomus carolinensis,17,Chuck-will's-widow
Falco rufigularis,17,Bat Falcon
Himantopus himantopus,17,Black-winged Stilt
Cyornis hainanus,17,Hainan Blue Flycatcher
Spilornis cheela,17,Crested Serpent-Eagle
Phylloscopus tenellipes,17,Pale-legged Leaf Warbler
Pseudacris feriarum,17,
Porzana carolina,17,Sora
Setophaga striata,17,Blackpoll Warbler
Tringa solitaria,16,Solitary Sandpiper
Fireworks,16,
Contopus sordidulus,16,Western Wood-Pewee
Icterus galbula,16,Baltimore Oriole
Leiothlypis peregrina,16,Tennessee Warbler
Tools,16,
Gymnorhina tibicen,15,Australian Magpie
Icterus spurius,15,Orchard Oriole
Camera,15,
Cacatua galerita,15,Sulphur-crested Cockatoo
Passer montanus,15,Eurasian Tree Sparrow
Melanerpes candidus,15,White Woodpecker
Cacomantis merulinus,15,Plaintive Cuckoo
Larus argentatus,14,European Herring Gull
Larus fuscus,14,Lesser Black-backed Gull
Calyptorhynchus lathami,14,Glossy Black-Cockatoo
Hands,14,
Buteo plagiatus,14,Gray Hawk
Calypte anna,14,Anna's Hummingbird
Pholidoptera femorata,14,
Ramphocaenus melanurus,14,Long-billed Gnatwren
Gavia immer,14,Common Loon
Vanellus chilensis,14,Southern Lapwing
Sterna hirundo,13,Common Tern
Poecilimon mytilenensis,13,
Clapping,13,
Wild_animals,13,
Toxostoma redivivum,13,California Thrasher
Dryobates borealis,13,
Sepiana sepium,13,
Psittacula krameri,13,Rose-ringed Parakeet
Lithobates clamitans,12,
Pheucticus melanocephalus,12,Black-headed Grosbeak
Vireo bellii,12,Bell's Vireo
Henicorhina leucophrys,12,Gray-breasted Wood-Wren
Gerygone igata,12,Gray Gerygone
Pseudacris fouquettei,12,
Falco columbarius,12,Merlin
Astur cooperii,12,Cooper's Hawk
Eudynamys orientalis,12,Pacific Koel
Magicicada septendecim,11,
Cisticola juncidis,11,Zitting Cisticola
Turdus flavipes,11,Yellow-legged Thrush
Larus michahellis,11,Yellow-legged Gull
Melospiza lincolnii,11,Lincoln's Sparrow
Neotibicen robinsonianus,11,
Sittasomus griseicapillus,11,Olivaceous Woodcreeper
Egretta garzetta,11,Little Egret
Phylloscopus canariensis,11,Canary Islands Chiffchaff
Picumnus innominatus,11,Speckled Piculet
Attila bolivianus,10,Dull-capped Attila
Corthylio calendula,10,Ruby-crowned Kinglet
Acris crepitans,10,
Pseudochorthippus parallelus,10,
Gunshot_and_gunfire,10,
Piranga ludoviciana,10,Western Tanager
Myadestes townsendi,10,Townsend's Solitaire
Setophaga tigrina,10,Cape May Warbler
Turdus hortulorum,10,Gray-backed Thrush
Tadorna ferruginea,10,Ruddy Shelduck
Empidonax virescens,10,Acadian Flycatcher
Pyrrhocorax pyrrhocorax,10,Red-billed Chough
Geothlypis philadelphia,10,Mourning Warbler
Clanga pomarina,10,Lesser Spotted Eagle
Ficedula albicilla,10,Taiga Flycatcher
Sphyrapicus varius,10,Yellow-bellied Sapsucker
Circus aeruginosus,10,Western Marsh Harrier
Corvus enca,10,Sunda Crow
Ninox strenua,10,Powerful Owl
Canis lupus,9,
Empidonax alnorum,9,Alder Flycatcher
Toxostoma curvirostre,9,Curve-billed Thrasher
Anthornis melanura,9,New Zealand Bellbird
Locustella luscinioides,9,Savi's Warbler
Setophaga coronata,9,Yellow-rumped Warbler
Tachyspiza badia,9,Shikra
Insect,9,
Rhinella arenarum,9,
Nilaus afer,9,Brubru
Andropadus importunus,9,Sombre Greenbul
Ramphastos ambiguus,9,Yellow-throated Toucan
Plucked_string_instrument,8,
Apalis melanocephala,8,Black-headed Apalis
Guitar,8,
Molothrus ater,8,Brown-headed Cowbird
Phylloscopus proregulus,8,Pallas's Leaf Warbler
Melozone crissalis,8,California Towhee
Ara militaris,8,Military Macaw
Salomona borneensis,8,
Perdix perdix,8,Gray Partridge
Epidalea calamita,8,
Melospiza georgiana,8,Swamp Sparrow
Rana temporaria,8,
Myiarchus tyrannulus,8,Brown-crested Flycatcher
Quesada gigas,8,
Corvus macrorhynchos,8,Large-billed Crow
Psittacula eupatria,8,Alexandrine Parakeet
Parkesia noveboracensis,8,Northern Waterthrush
Manorina melanophrys,8,Bell Miner
Marmota marmota,8,
Cygnus olor,7,Mute Swan
Rallus limicola,7,Virginia Rail
Setophaga cerulea,7,Cerulean Warbler
Limnodynastes dumerilii,7,
Cercococcyx montanus,7,Barred Long-tailed Cuckoo
Spinus pinus,7,Pine Siskin
Dendrocopos syriacus,7,Syrian Woodpecker
Nucifraga columbiana,7,Clark's Nutcracker
Hierococcyx sparverioides,7,Large Hawk-Cuckoo
Setophaga castanea,7,Bay-breasted Warbler
Myadestes occidentalis,7,Brown-backed Solitaire
Coccyzus erythropthalmus,7,Black-billed Cuckoo
Bell,7,
Catharus mexicanus,7,Black-headed Nightingale-Thrush
Melanerpes erythrocephalus,7,Red-headed Woodpecker
Campylorhynchus brunneicapillus,7,Cactus Wren
Rail_transport,7,
Melanerpes formicivorus,7,Acorn Woodpecker
Alisterus scapularis,7,Australian King-Parrot
Caligavis chrysops,6,Yellow-faced Honeyeater
Thunderstorm,6,
Turdus falcklandii,6,Austral Thrush
Ancistrura nigrovittata,6,
Cacomantis sepulcralis,6,Sunda Brush Cuckoo
Tringa melanoleuca,6,Greater Yellowlegs
Setophaga dominica,6,Yellow-throated Warbler
Periparus venustulus,6,Yellow-bellied Tit
Gastrophryne carolinensis,6,
Thalasseus sandvicensis,6,Sandwich Tern
Keys_jangling,6,
Eudynamys scolopaceus,6,Asian Koel
Phylloscopus borealoides,6,Sakhalin Leaf Warbler
Panurus biarmicus,6,Bearded Reedling
Setophaga magnolia,6,Magnolia Warbler
Phalaenoptilus nuttallii,6,Common Poorwill
Colluricincla harmonica,6,Gray Shrikethrush
Cistothorus palustris,6,Marsh Wren
Cyanocitta stelleri,6,Steller's Jay
Apalis thoracica,6,Bar-throated Apalis
Phylloscopus humei,6,Hume's Warbler
Sayornis nigricans,6,Black Phoebe
Agapornis roseicollis,6,Rosy-faced Lovebird
Aquila chrysaetos,5,Golden Eagle
Megaceryle torquata,5,Ringed Kingfisher
Tyrannus tyrannus,5,Eastern Kingbird
Ramphastos vitellinus,5,Channel-billed Toucan
Curruca undata,5,Dartford Warbler
Nyctidromus albicollis,5,Common Pauraque
Pnoepyga pusilla,5,Pygmy Cupwing
Magicicada cassinii,5,
Podiceps cristatus,5,Great Crested Grebe
Bowed_string_instrument,5,
Chorthippus brunneus,5,
Anser caerulescens,5,Snow Goose
Helmitheros vermivorum,5,Worm-eating Warbler
Pachycephala olivacea,5,Olive Whistler
Yoyetta celis,5,
Stethophyma grossum,5,
Sturnella magna,5,Eastern Meadowlark
Sayornis saya,5,Say's Phoebe
Cyanoptila cyanomelana,5,Blue-and-white Flycatcher
Setophaga nigrescens,5,Black-throated Gray Warbler
Caracara plancus,5,Crested Caracara
Illadopsis distans,5,Tanzanian Illadopsis
Micrastur semitorquatus,5,Collared Forest-Falcon
Anser serrirostris,5,Tundra Bean-Goose
Columba livia,5,Rock Pigeon
Himantopus mexicanus,5,Black-necked Stilt
Trumpet,5,
Herpetotheres cachinnans,5,Laughing Falcon
Thunder,5,
Larus canus,5,Common Gull
Gymnorhinus cyanocephalus,5,Pinyon Jay
Passerina caerulea,5,Blue Grosbeak
Limosa limosa,5,Black-tailed Godwit
Asio flammeus,5,Short-eared Owl
Lyrurus tetrix,5,Black Grouse
Alytes obstetricans,5,
Coin_(dropping),5,
Trichoglossus moluccanus,5,Rainbow Lorikeet
Decticus verrucivorus,5,
Pelobates fuscus,5,
Malacocincla abbotti,5,Abbott's Babbler
Colinus virginianus,5,Northern Bobwhite
Animal,5,
Megarynchus pitangua,5,Boat-billed Flycatcher
Poecilimon affinis,5,
Modulatrix stictigula,5,Spot-throat
Nemobius sylvestris,4,
Petronia petronia,4,Rock Sparrow
Oporornis agilis,4,Connecticut Warbler
Mimus gilvus,4,Tropical Mockingbird
Ichthyaetus melanocephalus,4,Mediterranean Gull
Acanthiza pusilla,4,Brown Thornbill
Copsychus saularis,4,Oriental Magpie-Robin
Cymbal,4,
Oecanthus pellucens,4,
Pitangus sulphuratus,4,Great Kiskadee
Myiothlypis leucoblephara,4,White-browed Warbler
Parabuteo unicinctus,4,Harris's Hawk
Drip,4,
Arremon assimilis,4,Gray-browed Brushfinch
Catherpes mexicanus,4,Canyon Wren
Fart,4,
Chamaea fasciata,4,Wrentit
Ciconia ciconia,4,White Stork
Acrochordopus burmeisteri,4,Rough-legged Tyrannulet
Ninox novaeseelandiae,4,Morepork
Luscinia svecica,4,Bluethroat
Geothlypis tolmiei,4,MacGillivray's Warbler
Limnothlypis swainsonii,4,Swainson's Warbler
Aphelocoma californica,4,California Scrub-Jay
Poecile hudsonicus,4,Boreal Chickadee
Poecilimon zimmeri,4,
Ficedula zanthopygia,4,Yellow-rumped Flycatcher
Geokichla gurneyi,4,Orange Ground-Thrush
Phylloscopus plumbeitarsus,4,Two-barred Warbler
Icteria virens,4,Yellow-breasted Chat
Calidris minutilla,4,Least Sandpiper
Laughter,4,
Zhangixalus arvalis,4,
Dacelo novaeguineae,4,Laughing Kookaburra
Alopochen aegyptiaca,4,Egyptian Goose
Emberiza spodocephala,4,Black-faced Bunting
Geothlypis formosa,4,Kentucky Warbler
Myiarchus cinerascens,4,Ash-throated Flycatcher
Mimus saturninus,4,Chalk-browed Mockingbird
Speech,4,
Tamias striatus,3,
Pomatorhinus musicus,3,Taiwan Scimitar-Babbler
Ramphastos tucanus,3,White-throated Toucan
Cyrtaspis scutata,3,
Curruca hortensis,3,Western Orphean Warbler
Cormobates leucophaea,3,White-throated Treecreeper
Acrocephalus australis,3,Australian Reed Warbler
Cygnus columbianus,3,Tundra Swan
Hi-hat,3,
Tambourine,3,
Oenanthe oenanthe,3,Northern Wheatear
Thump_and_thud,3,
Rattle_(instrument),3,
Meleagris gallopavo,3,Wild Turkey
Gavia stellata,3,Red-throated Loon
Gypsophila brevicaudata,3,Streaked Wren-Babbler
Barbitistes fischeri,3,
Cyclarhis gujanensis,3,Rufous-browed Peppershrike
Locustella tacsanowskia,3,Chinese Bush Warbler
Walk_and_footsteps,3,
Empidonax traillii,3,Willow Flycatcher
Cuculus optatus,3,Oriental Cuckoo
Megatibicen grossa,3,
Phaps chalcoptera,3,Common Bronzewing
Phaneroptera falcata,3,
Engine,3,
Turnix sylvaticus,3,Small Buttonquail
Lithobates palustris,3,
Vireo chivi,3,Chivi Vireo
Computer_keyboard,3,
Subway_and_metro_and_underground,3,
Cacomantis sonneratii,3,Banded Bay Cuckoo
Pelargopsis capensis,3,Stork-billed Kingfisher
Aerospiza tachiro,3,African Goshawk
Branta bernicla,3,Brant
Catharus fuscater,3,Slaty-backed Nightingale-Thrush
Phylloscopus xanthoschistos,3,Gray-hooded Warbler
Lophotriccus galeatus,3,Helmeted Pygmy-Tyrant
Tachymarptis melba,3,Alpine Swift
Pseudacris triseriata,3,
Lithobates sphenocephalus,3,
Glass,3,
Phoenicurus auroreus,2,Daurian Redstart
Geococcyx californianus,2,Greater Roadrunner
Curruca iberiae,2,Western Subalpine Warbler
Pyrocephalus rubinus,2,Vermilion Flycatcher
Curruca conspicillata,2,Spectacled Warbler
Corvus splendens,2,House Crow
Dicrurus paradiseus,2,Greater Racket-tailed Drongo
Rattle,2,
